id,event_id,start_datetime,end_datetime
rep_001,ev_001,2025-07-15T20:00:00+02:00,2025-07-15T23:00:00+02:00
rep_002,ev_001,2025-07-16T20:00:00+02:00,2025-07-16T23:00:00+02:00
rep_003,ev_001,2025-07-17T20:00:00+02:00,2025-07-17T23:00:00+02:00
rep_004,ev_002,2025-08-10T19:30:00+02:00,2025-08-10T22:30:00+02:00
rep_005,ev_002,2025-08-11T19:30:00+02:00,2025-08-11T22:30:00+02:00
rep_006,ev_003,2025-09-05T19:00:00+02:00,2025-09-05T21:30:00+02:00
rep_007,ev_004,2025-10-20T20:30:00+02:00,2025-10-20T23:30:00+02:00
rep_008,ev_004,2025-10-21T20:30:00+02:00,2025-10-21T23:30:00+02:00
rep_009,ev_005,2025-11-01T22:00:00+01:00,2025-11-02T04:00:00+01:00
rep_010,ev_005,2025-11-02T22:00:00+01:00,2025-11-03T04:00:00+01:00
rep_011,ev_006,2025-12-15T20:00:00+01:00,2025-12-15T22:00:00+01:00
rep_012,ev_006,2025-12-16T20:00:00+01:00,2025-12-16T22:00:00+01:00
rep_013,ev_007,2026-01-10T19:00:00+01:00,2026-01-10T23:00:00+01:00
rep_014,ev_008,2026-02-14T18:30:00+01:00,2026-02-14T22:00:00+01:00
rep_015,ev_008,2026-02-15T18:30:00+01:00,2026-02-15T22:00:00+01:00
rep_016,ev_009,2026-03-20T19:30:00+01:00,2026-03-20T23:30:00+01:00
rep_017,ev_010,2026-04-05T19:00:00+02:00,2026-04-05T22:30:00+02:00
rep_018,ev_010,2026-04-06T14:00:00+02:00,2026-04-06T17:30:00+02:00